job title,company name,locaton,skills,links
Senior Python Developer,"Nile Bits, LLC -","6th of October, Giza, Egypt ",Full TimeRemoteExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · APIs · RESTful · Python · Software Engineering,https://wuzzuf.net/jobs/p/gSlIpqMnrkqV-Senior-Python-Developer-Nile-Bits-LLC-Giza-Egypt
Full Stack Developer - Python,Pyramids Pharmacy  -,"6th of October, Giza, Egypt ",Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Python · Django · React · AWS · Docker · Github,https://wuzzuf.net/jobs/p/IObyTyAPkoyl-Full-Stack-Developer---Python-Pyramids-Pharmacy-Giza-Egypt
Python Artisan Developer,coto -,"Cairo, Egypt ",Full TimeRemoteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Django · API · AI · Data Processing · Computer Science · Docker · Engineering · Information Technology (IT) · MongoDB,https://wuzzuf.net/jobs/p/EjPByHhxrg1y-Python-Artisan-Developer-coto-Cairo-Egypt
Python Developer,Afaqy -,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python,https://wuzzuf.net/jobs/p/vOih05R9ip4s-Python-Developer-Afaqy-Cairo-Egypt
Full-Stack Python Team Leader (Django/React),RDI -,"Riyadh, Saudi Arabia ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,https://wuzzuf.net/jobs/p/QYjtCS50gnXV-Full-Stack-Python-Team-Leader-DjangoReact-RDI-Riyadh-Saudi-Arabia
Senior Full-Stack Python (Django/React) in KSA,RDI -,"Dokki, Giza, Egypt ",Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems,https://wuzzuf.net/jobs/p/o21S64HNCZ4B-Senior-Full-Stack-Python-DjangoReact-in-KSA-RDI-Giza-Egypt
DAZU Pay - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Full TimeFreelance / ProjectHybridEntry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science,https://wuzzuf.net/jobs/p/fAigo2QoJCS5-DAZU-Pay---Python-Developer-FinTech-Bright-Creations-Giza-Egypt
Junior data engineer,Al Soug-Cashi -,"Dokki, Giza, Egypt ",Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · BI · Data · Engineering · Python · SQL · Database · Software Development,https://wuzzuf.net/jobs/p/6K91q2qi3Ppi-Junior-data-engineer-Al-Soug-Cashi-Giza-Egypt
Senior Renewable Energy Engineer,Storlytics  -,"Charlotte, United States ",Full TimeRemoteExperienced · 3 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · English · AutoCAD · Electrical Engineering · Renewable Energy · Power · PVsyst · Python,https://wuzzuf.net/jobs/p/yTAxZORsz6Rx-Senior-Renewable-Energy-Engineer-Storlytics-Charlotte-United-States
Backend Java Staff Engineer,Confidential -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · API · backend · Computer Science · Information Technology (IT) · Java · Kotlin · Python,https://wuzzuf.net/jobs/p/ZcAcE70b6VNf-Backend-Java-Staff-Engineer-Cairo-Egypt
"Instructor for Kids , ages 7-17 (with focus on schools)",CodeTreps -,"Mahta Alraml, Alexandria, Egypt ",Full TimePart TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Computer Science · Entrepreneurship · Education · Programming · Teaching · Training · Instructor,https://wuzzuf.net/jobs/p/6hTMNSHY3AbR-Instructor-for-Kids-ages-7-17-with-focus-on-schools-CodeTreps-Alexandria-Egypt
Full Stack Software Engineer - Internet of Things (IoT),CONSULTIX  -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Full Stack · Information Technology (IT) · JavaScript · Software · Software Development · SQL · Python · Development,https://wuzzuf.net/jobs/p/fxEaWWqarMCG-Full-Stack-Software-Engineer---Internet-of-Things-IoT-CONSULTIX-Cairo-Egypt
Senior Odoo Developer,willys kitchen-Egypt -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Odoo · JavaScript · HTML · Python · XML · Software Engineering,https://wuzzuf.net/jobs/p/u5S6O4QWa1j9-Senior-Odoo-Developer-willys-kitchen-Egypt-Cairo-Egypt
